,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
350862,BLPU_906700327946_TopographicArea_osgb1000040410595_5,906700327946,,20160210000000,osgb1000040410595,13,20180910000000,Version information is correct
351838,BLPU_906700059904_TopographicArea_osgb1000002038487482_5,906700059904,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
352116,BLPU_906700064059_TopographicArea_osgb1000040410595_5,906700064059,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
353692,BLPU_906700344319_TopographicArea_osgb1000040410595_5,906700344319,,20160506000000,osgb1000040410595,13,20180910000000,Version information is correct
353983,BLPU_906700349154_TopographicArea_osgb1000040412156_5,906700349154,,20200203000000,osgb1000040412156,7,20080210000000,Version information is correct
354783,BLPU_906700362609_TopographicArea_osgb1000002038248922_5,906700362609,,20160210000000,osgb1000002038248922,6,20080210000000,Version information is correct
356125,BLPU_906700054791_TopographicArea_osgb1000040410551_5,906700054791,,20200226000000,osgb1000040410551,3,20030224000000,Version information is correct
358165,BLPU_906700372445_TopographicArea_osgb1000040410595_5,906700372445,,20210329000000,osgb1000040410595,13,20180910000000,Version information is correct
358384,BLPU_906700375918_TopographicArea_osgb1000040410595_5,906700375918,,20160210000000,osgb1000040410595,13,20180910000000,Version information is correct
358442,BLPU_906700376880_TopographicArea_osgb1000040410551_5,906700376880,,20160210000000,osgb1000040410551,3,20030224000000,Version information is correct
359535,BLPU_906700006026_TopographicArea_osgb1000040410595_5,906700006026,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
361909,BLPU_906700402398_TopographicArea_osgb1000002038441601_5,906700402398,,20200226000000,osgb1000002038441601,2,20051226000000,Version information is correct
361910,BLPU_906700402400_TopographicArea_osgb1000002038441601_5,906700402400,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
361911,BLPU_906700402409_TopographicArea_osgb1000002038441601_5,906700402409,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
362103,BLPU_906700406014_TopographicArea_osgb1000002038515043_5,906700406014,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
362112,BLPU_906700406160_TopographicArea_osgb1000002038515043_5,906700406160,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
362115,BLPU_906700406192_TopographicArea_osgb1000002038515043_5,906700406192,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
362116,BLPU_906700406197_TopographicArea_osgb1000002038515043_5,906700406197,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
362117,BLPU_906700406214_TopographicArea_osgb1000002038515043_5,906700406214,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
362118,BLPU_906700406219_TopographicArea_osgb1000002038515043_5,906700406219,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
